"ID","SCHOOL_YEAR","LEAID","District","STATE","REGION","Primary County FIPS","Primary County Name","Majority White schools","Majority Non-White schools","Equal Mix schools","NA schools","Total Schools","Percent majority White schools","Percent majority non-White schools","Percent equal mix schools","White students","Non-White students","TOTAL STUDENTS","Percent White students","Percent non-White students","DISTSIZE_DESC","Dissimilarity Index","DISNDX_DESC"
15.00,"2023-2024","0100180","Attalla City","Alabama","South","01055","Etowah County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,2002.00,1074.00,3076.00,0.65,0.34,"1,000 - 10,000",5.26,"Less than 10"
16.00,"2023-2024","0100185","Saraland City","Alabama","South","01097","Mobile County",4.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,5008.00,1968.00,6976.00,0.71,0.28,"1,000 - 10,000",8.25,"Less than 10"
17.00,"2023-2024","0100188","Chickasaw City","Alabama","South","01097","Mobile County",0.00,4.00,0.00,0.00,4.00,0.00,1.00,0.00,1898.00,3220.00,5118.00,0.37,0.62,"1,000 - 10,000",25.19,"25.01 - 50"
18.00,"2023-2024","0100189","Satsuma City","Alabama","South","01097","Mobile County",2.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,2572.00,416.00,2988.00,0.86,0.13,"1,000 - 10,000",8.50,"Less than 10"
19.00,"2023-2024","0100190","Alabaster City","Alabama","South","01117","Shelby County",3.00,2.00,0.00,0.00,5.00,0.60,0.40,0.00,6478.00,6218.00,12696.00,0.51,0.48,"10,001 - 50,000",2.86,"Less than 10"
20.00,"2023-2024","0100194","Pelham City","Alabama","South","01117","Shelby County",0.00,4.00,0.00,0.00,4.00,0.00,1.00,0.00,3000.00,3896.00,6896.00,0.43,0.56,"1,000 - 10,000",4.80,"Less than 10"
21.00,"2023-2024","0100195","Pike Road City","Alabama","South","01101","Montgomery County",3.00,1.00,0.00,0.00,4.00,0.75,0.25,0.00,2978.00,2596.00,5574.00,0.53,0.46,"1,000 - 10,000",6.71,"Less than 10"
22.00,"2023-2024","0100197","MAEF Public Charter Schools","Alabama","South","01097","Mobile County",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,50.00,1374.00,1424.00,0.03,0.96,"1,000 - 10,000",10.43,"10 - 25"
23.00,"2023-2024","0100199","University Charter School","Alabama","South","01119","Sumter County",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,668.00,730.00,1398.00,0.47,0.52,"1,000 - 10,000",4.53,"Less than 10"
24.00,"2023-2024","0100201","Legacy Prep","Alabama","South","01073","Jefferson County",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,6.00,870.00,876.00,6.84931506849315e-03,0.99,"500 - 999",,"NA"
25.00,"2023-2024","0100202","Gulf Shores City","Alabama","South","01003","Baldwin County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,4330.00,958.00,5288.00,0.81,0.18,"1,000 - 10,000",3.87,"Less than 10"
26.00,"2023-2024","0100203","LEAD Academy","Alabama","South","01101","Montgomery County",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,42.00,1474.00,1516.00,0.02,0.97,"1,000 - 10,000",7.48,"Less than 10"
27.00,"2023-2024","0100204","i3 Academy","Alabama","South","01073","Jefferson County",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,96.00,1340.00,1436.00,0.06,0.93,"1,000 - 10,000",15.45,"10 - 25"
28.00,"2023-2024","0100207","LIFE Academy","Alabama","South","01101","Montgomery County",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,1054.00,1056.00,1.89393939393939e-03,0.99,"1,000 - 10,000",,"NA"
29.00,"2023-2024","0100208","Breakthrough Charter School","Alabama","South","01105","Perry County",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,188.00,490.00,678.00,0.27,0.72,"500 - 999",,"NA"
30.00,"2023-2024","0100210","Auburn City","Alabama","South","01081","Lee County",10.00,4.00,0.00,0.00,14.00,0.71,0.28,0.00,10066.00,8866.00,18932.00,0.53,0.46,"10,001 - 50,000",6.83,"Less than 10"
31.00,"2023-2024","0100211","Magic City Acceptance Academy","Alabama","South","01073","Jefferson County",1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,406.00,280.00,686.00,0.59,0.40,"500 - 999",,"NA"
32.00,"2023-2024","0100213","Alabama Aerospace and Aviation","Alabama","South","01073","Jefferson County",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,40.00,296.00,336.00,0.11,0.88,"Less than 500",,"NA"
33.00,"2023-2024","0100240","Autauga County","Alabama","South","01001","Autauga County",9.00,3.00,0.00,3.00,15.00,0.60,0.20,0.00,10598.00,7356.00,17954.00,0.59,0.40,"10,001 - 50,000",22.43,"10 - 25"
34.00,"2023-2024","0100270","Baldwin County","Alabama","South","01003","Baldwin County",36.00,5.00,0.00,2.00,43.00,0.83,0.11,0.00,41806.00,21830.00,63636.00,0.65,0.34,"50,001 - 100,000",24.52,"10 - 25"
35.00,"2023-2024","0100300","Barbour County","Alabama","South","01005","Barbour County",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,116.00,1242.00,1358.00,0.08,0.91,"1,000 - 10,000",6.31,"Less than 10"
36.00,"2023-2024","0100330","Bessemer City","Alabama","South","01073","Jefferson County",0.00,7.00,0.00,1.00,8.00,0.00,0.87,0.00,110.00,6132.00,6242.00,0.01,0.98,"1,000 - 10,000",21.46,"10 - 25"
37.00,"2023-2024","0100360","Bibb County","Alabama","South","01007","Bibb County",8.00,0.00,0.00,0.00,8.00,1.00,0.00,0.00,4194.00,1960.00,6154.00,0.68,0.31,"1,000 - 10,000",30.82,"25.01 - 50"
38.00,"2023-2024","0100390","Birmingham City","Alabama","South","01073","Jefferson County",0.00,43.00,0.00,6.00,49.00,0.00,0.87,0.00,460.00,41308.00,41768.00,0.01,0.98,"10,001 - 50,000",34.32,"25.01 - 50"
39.00,"2023-2024","0100420","Blount County","Alabama","South","01009","Blount County",14.00,0.00,0.00,2.00,16.00,0.87,0.00,0.00,12352.00,3060.00,15412.00,0.80,0.19,"10,001 - 50,000",29.88,"25.01 - 50"
40.00,"2023-2024","0100450","Brewton City","Alabama","South","01053","Escambia County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,1432.00,910.00,2342.00,0.61,0.38,"1,000 - 10,000",3.62,"Less than 10"
41.00,"2023-2024","0100480","Bullock County","Alabama","South","01011","Bullock County",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,42.00,2692.00,2734.00,0.01,0.98,"1,000 - 10,000",24.82,"10 - 25"
42.00,"2023-2024","0100510","Butler County","Alabama","South","01013","Butler County",1.00,5.00,0.00,0.00,6.00,0.16,0.83,0.00,1856.00,3734.00,5590.00,0.33,0.66,"1,000 - 10,000",36.77,"25.01 - 50"
43.00,"2023-2024","0100540","Calhoun County","Alabama","South","01015","Calhoun County",15.00,2.00,0.00,3.00,20.00,0.75,0.10,0.00,12192.00,3850.00,16042.00,0.76,0.23,"10,001 - 50,000",29.59,"25.01 - 50"
44.00,"2023-2024","0100600","Chambers County","Alabama","South","01017","Chambers County",1.00,8.00,0.00,0.00,9.00,0.11,0.88,0.00,2670.00,3576.00,6246.00,0.42,0.57,"1,000 - 10,000",19.85,"10 - 25"
45.00,"2023-2024","0100630","Cherokee County","Alabama","South","01019","Cherokee County",7.00,0.00,0.00,0.00,7.00,1.00,0.00,0.00,6964.00,870.00,7834.00,0.88,0.11,"1,000 - 10,000",21.81,"10 - 25"
46.00,"2023-2024","0100660","Chilton County","Alabama","South","01021","Chilton County",9.00,3.00,0.00,2.00,14.00,0.64,0.21,0.00,10206.00,5654.00,15860.00,0.64,0.35,"10,001 - 50,000",24.75,"10 - 25"
47.00,"2023-2024","0100690","Choctaw County","Alabama","South","01023","Choctaw County",0.00,4.00,0.00,0.00,4.00,0.00,1.00,0.00,526.00,1542.00,2068.00,0.25,0.74,"1,000 - 10,000",46.16,"25.01 - 50"
48.00,"2023-2024","0100720","Clarke County","Alabama","South","01025","Clarke County",0.00,7.00,0.00,0.00,7.00,0.00,1.00,0.00,1184.00,3132.00,4316.00,0.27,0.72,"1,000 - 10,000",6.96,"Less than 10"
49.00,"2023-2024","0100750","Clay County","Alabama","South","01027","Clay County",4.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,2448.00,1104.00,3552.00,0.68,0.31,"1,000 - 10,000",9.58,"Less than 10"
50.00,"2023-2024","0100780","Cleburne County","Alabama","South","01029","Cleburne County",7.00,0.00,0.00,1.00,8.00,0.87,0.00,0.00,4548.00,502.00,5050.00,0.90,0.09,"1,000 - 10,000",29.02,"25.01 - 50"
51.00,"2023-2024","0100810","Coffee County","Alabama","South","01031","Coffee County",5.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,4612.00,1196.00,5808.00,0.79,0.20,"1,000 - 10,000",36.05,"25.01 - 50"
52.00,"2023-2024","0100840","Colbert County","Alabama","South","01033","Colbert County",8.00,0.00,0.00,0.00,8.00,1.00,0.00,0.00,4114.00,1176.00,5290.00,0.77,0.22,"1,000 - 10,000",35.52,"25.01 - 50"
53.00,"2023-2024","0100870","Conecuh County","Alabama","South","01035","Conecuh County",1.00,6.00,0.00,1.00,8.00,0.12,0.75,0.00,578.00,2244.00,2822.00,0.20,0.79,"1,000 - 10,000",51.57,"More than 50"
54.00,"2023-2024","0100900","Coosa County","Alabama","South","01037","Coosa County",1.00,1.00,0.00,0.00,2.00,0.50,0.50,0.00,792.00,770.00,1562.00,0.50,0.49,"1,000 - 10,000",2.92,"Less than 10"
55.00,"2023-2024","0100930","Covington County","Alabama","South","01039","Covington County",8.00,0.00,0.00,0.00,8.00,1.00,0.00,0.00,5420.00,750.00,6170.00,0.87,0.12,"1,000 - 10,000",23.83,"10 - 25"
56.00,"2023-2024","0100960","Crenshaw County","Alabama","South","01041","Crenshaw County",2.00,1.00,0.00,0.00,3.00,0.66,0.33,0.00,2472.00,1704.00,4176.00,0.59,0.40,"1,000 - 10,000",19.70,"10 - 25"
57.00,"2023-2024","0100990","Cullman City","Alabama","South","01043","Cullman County",5.00,0.00,0.00,1.00,6.00,0.83,0.00,0.00,5506.00,892.00,6398.00,0.86,0.13,"1,000 - 10,000",4.67,"Less than 10"
58.00,"2023-2024","0101020","Cullman County","Alabama","South","01043","Cullman County",25.00,0.00,0.00,1.00,26.00,0.96,0.00,0.00,16636.00,3168.00,19804.00,0.84,0.15,"10,001 - 50,000",16.63,"10 - 25"
59.00,"2023-2024","0101050","Dale County","Alabama","South","01045","Dale County",7.00,0.00,0.00,1.00,8.00,0.87,0.00,0.00,4532.00,2094.00,6626.00,0.68,0.31,"1,000 - 10,000",25.60,"25.01 - 50"
60.00,"2023-2024","0101080","Daleville City","Alabama","South","01045","Dale County",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,990.00,1452.00,2442.00,0.40,0.59,"1,000 - 10,000",2.87,"Less than 10"
61.00,"2023-2024","0101110","Dallas County","Alabama","South","01047","Dallas County",0.00,11.00,0.00,0.00,11.00,0.00,1.00,0.00,666.00,3996.00,4662.00,0.14,0.85,"1,000 - 10,000",51.70,"More than 50"
62.00,"2023-2024","0101140","DeKalb County","Alabama","South","01049","DeKalb County",8.00,4.00,0.00,2.00,14.00,0.57,0.28,0.00,9070.00,8338.00,17408.00,0.52,0.47,"10,001 - 50,000",41.58,"25.01 - 50"
63.00,"2023-2024","0101170","Decatur City","Alabama","South","01103","Morgan County",1.00,17.00,0.00,1.00,19.00,0.05,0.89,0.00,4978.00,12352.00,17330.00,0.28,0.71,"10,001 - 50,000",22.44,"10 - 25"
64.00,"2023-2024","0101200","Demopolis City","Alabama","South","01091","Marengo County",0.00,4.00,0.00,0.00,4.00,0.00,1.00,0.00,1690.00,2384.00,4074.00,0.41,0.58,"1,000 - 10,000",1.71,"Less than 10"
65.00,"2023-2024","0101230","Dothan City","Alabama","South","01069","Houston County",1.00,15.00,0.00,1.00,17.00,0.05,0.88,0.00,4222.00,11848.00,16070.00,0.26,0.73,"10,001 - 50,000",27.69,"25.01 - 50"
66.00,"2023-2024","0101260","Elba City","Alabama","South","01031","Coffee County",1.00,1.00,0.00,0.00,2.00,0.50,0.50,0.00,618.00,654.00,1272.00,0.48,0.51,"1,000 - 10,000",2.46,"Less than 10"
67.00,"2023-2024","0101290","Elmore County","Alabama","South","01051","Elmore County",11.00,5.00,0.00,0.00,16.00,0.68,0.31,0.00,14858.00,8782.00,23640.00,0.62,0.37,"10,001 - 50,000",36.89,"25.01 - 50"
68.00,"2023-2024","0101320","Enterprise City","Alabama","South","01031","Coffee County",6.00,3.00,0.00,0.00,9.00,0.66,0.33,0.00,6884.00,6286.00,13170.00,0.52,0.47,"10,001 - 50,000",10.53,"10 - 25"
69.00,"2023-2024","0101350","Escambia County","Alabama","South","01053","Escambia County",6.00,5.00,0.00,2.00,13.00,0.46,0.38,0.00,4078.00,4246.00,8324.00,0.48,0.51,"1,000 - 10,000",48.95,"25.01 - 50"
70.00,"2023-2024","0101380","Etowah County","Alabama","South","01055","Etowah County",21.00,0.00,0.00,2.00,23.00,0.91,0.00,0.00,14644.00,2784.00,17428.00,0.84,0.15,"10,001 - 50,000",17.46,"10 - 25"
71.00,"2023-2024","0101410","Eufaula City","Alabama","South","01005","Barbour County",1.00,4.00,0.00,1.00,6.00,0.16,0.66,0.00,5912.00,7974.00,13886.00,0.42,0.57,"10,001 - 50,000",21.67,"10 - 25"
72.00,"2023-2024","0101440","Fairfield City","Alabama","South","01073","Jefferson County",0.00,4.00,0.00,1.00,5.00,0.00,0.80,0.00,8.00,2634.00,2642.00,3.02800908402725e-03,0.99,"1,000 - 10,000",23.84,"10 - 25"
73.00,"2023-2024","0101470","Fayette County","Alabama","South","01057","Fayette County",6.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,3538.00,938.00,4476.00,0.79,0.20,"1,000 - 10,000",33.63,"25.01 - 50"
74.00,"2023-2024","0101530","Florence City","Alabama","South","01077","Lauderdale County",2.00,6.00,0.00,1.00,9.00,0.22,0.66,0.00,4148.00,4890.00,9038.00,0.45,0.54,"1,000 - 10,000",19.10,"10 - 25"
75.00,"2023-2024","0101560","Fort Payne City","Alabama","South","01049","DeKalb County",3.00,2.00,0.00,0.00,5.00,0.60,0.40,0.00,3542.00,3558.00,7100.00,0.49,0.50,"1,000 - 10,000",4.94,"Less than 10"
76.00,"2023-2024","0101590","Franklin County","Alabama","South","01059","Franklin County",8.00,1.00,0.00,0.00,9.00,0.88,0.11,0.00,5546.00,1734.00,7280.00,0.76,0.23,"1,000 - 10,000",44.64,"25.01 - 50"
77.00,"2023-2024","0101620","Gadsden City","Alabama","South","01055","Etowah County",3.00,9.00,0.00,3.00,15.00,0.20,0.60,0.00,2902.00,6842.00,9744.00,0.29,0.70,"1,000 - 10,000",31.22,"25.01 - 50"
78.00,"2023-2024","0101640","Geneva City","Alabama","South","01061","Geneva County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,2012.00,514.00,2526.00,0.79,0.20,"1,000 - 10,000",1.96,"Less than 10"
79.00,"2023-2024","0101660","Geneva County","Alabama","South","01061","Geneva County",9.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,4220.00,1418.00,5638.00,0.74,0.25,"1,000 - 10,000",7.07,"Less than 10"
80.00,"2023-2024","0101680","Greene County","Alabama","South","01063","Greene County",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,8.00,1754.00,1762.00,4.54029511918275e-03,0.99,"1,000 - 10,000",66.24,"More than 50"
81.00,"2023-2024","0101690","Guntersville City","Alabama","South","01095","Marshall County",4.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,2650.00,912.00,3562.00,0.74,0.25,"1,000 - 10,000",4.78,"Less than 10"
82.00,"2023-2024","0101710","Hale County","Alabama","South","01065","Hale County",1.00,5.00,0.00,0.00,6.00,0.16,0.83,0.00,1274.00,3222.00,4496.00,0.28,0.71,"1,000 - 10,000",56.87,"More than 50"
83.00,"2023-2024","0101720","Haleyville City","Alabama","South","01133","Winston County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,2552.00,656.00,3208.00,0.79,0.20,"1,000 - 10,000",4.24,"Less than 10"
84.00,"2023-2024","0101730","Hartselle City","Alabama","South","01103","Morgan County",6.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,6404.00,934.00,7338.00,0.87,0.12,"1,000 - 10,000",10.33,"10 - 25"
85.00,"2023-2024","0101740","Henry County","Alabama","South","01067","Henry County",3.00,2.00,0.00,1.00,6.00,0.50,0.33,0.00,3316.00,1762.00,5078.00,0.65,0.34,"1,000 - 10,000",27.16,"25.01 - 50"
86.00,"2023-2024","0101760","Homewood City","Alabama","South","01073","Jefferson County",5.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,6128.00,2800.00,8928.00,0.68,0.31,"1,000 - 10,000",17.35,"10 - 25"
87.00,"2023-2024","0101770","Houston County","Alabama","South","01069","Houston County",13.00,1.00,0.00,1.00,15.00,0.86,0.06,0.00,9862.00,4124.00,13986.00,0.70,0.29,"10,001 - 50,000",17.61,"10 - 25"
88.00,"2023-2024","0101800","Huntsville City","Alabama","South","01089","Madison County",14.00,29.00,0.00,1.00,44.00,0.31,0.65,0.00,16860.00,30438.00,47298.00,0.35,0.64,"10,001 - 50,000",52.32,"More than 50"
89.00,"2023-2024","0101830","Jackson County","Alabama","South","01071","Jackson County",16.00,0.00,0.00,1.00,17.00,0.94,0.00,0.00,7536.00,2826.00,10362.00,0.72,0.27,"10,001 - 50,000",13.52,"10 - 25"
90.00,"2023-2024","0101860","Jacksonville City","Alabama","South","01015","Calhoun County",2.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1824.00,1610.00,3434.00,0.53,0.46,"1,000 - 10,000",5.33,"Less than 10"
91.00,"2023-2024","0101890","Jasper City","Alabama","South","01127","Walker County",5.00,0.00,0.00,0.00,5.00,1.00,0.00,0.00,3598.00,2140.00,5738.00,0.62,0.37,"1,000 - 10,000",5.35,"Less than 10"
92.00,"2023-2024","0101920","Jefferson County","Alabama","South","01073","Jefferson County",17.00,39.00,0.00,1.00,57.00,0.29,0.68,0.00,21796.00,49546.00,71342.00,0.30,0.69,"50,001 - 100,000",58.59,"More than 50"
93.00,"2023-2024","0101950","Lamar County","Alabama","South","01075","Lamar County",4.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,3650.00,702.00,4352.00,0.83,0.16,"1,000 - 10,000",7.43,"Less than 10"
94.00,"2023-2024","0101980","Lanett City","Alabama","South","01017","Chambers County",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,94.00,1826.00,1920.00,0.04,0.95,"1,000 - 10,000",3.97,"Less than 10"
95.00,"2023-2024","0102010","Lauderdale County","Alabama","South","01077","Lauderdale County",14.00,0.00,0.00,0.00,14.00,1.00,0.00,0.00,14550.00,1434.00,15984.00,0.91,0.08,"10,001 - 50,000",19.79,"10 - 25"
96.00,"2023-2024","0102040","Lawrence County","Alabama","South","01079","Lawrence County",11.00,1.00,0.00,1.00,13.00,0.84,0.07,0.00,7234.00,2144.00,9378.00,0.77,0.22,"1,000 - 10,000",18.08,"10 - 25"
97.00,"2023-2024","0102070","Lee County","Alabama","South","01081","Lee County",12.00,2.00,0.00,0.00,14.00,0.85,0.14,0.00,11364.00,6918.00,18282.00,0.62,0.37,"10,001 - 50,000",16.87,"10 - 25"
98.00,"2023-2024","0102100","Limestone County","Alabama","South","01083","Limestone County",14.00,2.00,0.00,0.00,16.00,0.87,0.12,0.00,20836.00,10950.00,31786.00,0.65,0.34,"10,001 - 50,000",18.52,"10 - 25"
99.00,"2023-2024","0102130","Linden City","Alabama","South","01091","Marengo County",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,32.00,780.00,812.00,0.03,0.96,"500 - 999",6.25,"Less than 10"
100.00,"2023-2024","0102160","Lowndes County","Alabama","South","01085","Lowndes County",0.00,7.00,0.00,1.00,8.00,0.00,0.87,0.00,74.00,2272.00,2346.00,0.03,0.96,"1,000 - 10,000",29.53,"25.01 - 50"
101.00,"2023-2024","0102190","Macon County","Alabama","South","01087","Macon County",0.00,6.00,0.00,0.00,6.00,0.00,1.00,0.00,52.00,3486.00,3538.00,0.01,0.98,"1,000 - 10,000",45.59,"25.01 - 50"
102.00,"2023-2024","0102220","Madison County","Alabama","South","01089","Madison County",19.00,9.00,0.00,2.00,30.00,0.63,0.30,0.00,23026.00,18252.00,41278.00,0.55,0.44,"10,001 - 50,000",18.56,"10 - 25"
103.00,"2023-2024","0102250","Marengo County","Alabama","South","01091","Marengo County",1.00,2.00,0.00,0.00,3.00,0.33,0.66,0.00,724.00,1216.00,1940.00,0.37,0.62,"1,000 - 10,000",64.79,"More than 50"
104.00,"2023-2024","0102310","Marion County","Alabama","South","01093","Marion County",10.00,0.00,0.00,0.00,10.00,1.00,0.00,0.00,5698.00,1018.00,6716.00,0.84,0.15,"1,000 - 10,000",20.05,"10 - 25"
105.00,"2023-2024","0102350","Midfield City","Alabama","South","01073","Jefferson County",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,12.00,2054.00,2066.00,5.80832526621491e-03,0.99,"1,000 - 10,000",37.39,"25.01 - 50"
106.00,"2023-2024","0102370","Mobile County","Alabama","South","01097","Mobile County",29.00,57.00,1.00,4.00,91.00,0.31,0.62,0.01,35894.00,65964.00,101858.00,0.35,0.64,"More than 100,000",53.77,"More than 50"
107.00,"2023-2024","0102400","Monroe County","Alabama","South","01099","Monroe County",2.00,5.00,0.00,1.00,8.00,0.25,0.62,0.00,2492.00,3570.00,6062.00,0.41,0.58,"1,000 - 10,000",62.59,"More than 50"
108.00,"2023-2024","0102430","Montgomery County","Alabama","South","01101","Montgomery County",0.00,51.00,0.00,1.00,52.00,0.00,0.98,0.00,2854.00,50016.00,52870.00,0.05,0.94,"50,001 - 100,000",51.57,"More than 50"
109.00,"2023-2024","0102480","Morgan County","Alabama","South","01103","Morgan County",15.00,1.00,0.00,2.00,18.00,0.83,0.05,0.00,11930.00,3398.00,15328.00,0.77,0.22,"10,001 - 50,000",35.18,"25.01 - 50"
110.00,"2023-2024","0102490","Mountain Brook City","Alabama","South","01073","Jefferson County",6.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,8236.00,538.00,8774.00,0.93,0.06,"1,000 - 10,000",6.92,"Less than 10"
111.00,"2023-2024","0102520","Muscle Shoals City","Alabama","South","01033","Colbert County",6.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,3902.00,1972.00,5874.00,0.66,0.33,"1,000 - 10,000",4.25,"Less than 10"
112.00,"2023-2024","0102550","Oneonta City","Alabama","South","01009","Blount County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,1736.00,1020.00,2756.00,0.62,0.37,"1,000 - 10,000",5.77,"Less than 10"
113.00,"2023-2024","0102580","Opelika City","Alabama","South","01081","Lee County",0.00,9.00,0.00,1.00,10.00,0.00,0.90,0.00,2860.00,7548.00,10408.00,0.27,0.72,"10,001 - 50,000",14.01,"10 - 25"
114.00,"2023-2024","0102610","Opp City","Alabama","South","01039","Covington County",3.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,1938.00,722.00,2660.00,0.72,0.27,"1,000 - 10,000",6.92,"Less than 10"
115.00,"2023-2024","0102635","Oxford City","Alabama","South","01015","Calhoun County",1.00,5.00,0.00,0.00,6.00,0.16,0.83,0.00,3996.00,4202.00,8198.00,0.48,0.51,"1,000 - 10,000",4.92,"Less than 10"
116.00,"2023-2024","0102640","Ozark City","Alabama","South","01045","Dale County",0.00,4.00,0.00,1.00,5.00,0.00,0.80,0.00,1452.00,2606.00,4058.00,0.35,0.64,"1,000 - 10,000",7.04,"Less than 10"
117.00,"2023-2024","0102650","Pell City","Alabama","South","01115","St. Clair County",7.00,0.00,0.00,1.00,8.00,0.87,0.00,0.00,6402.00,1902.00,8304.00,0.77,0.22,"1,000 - 10,000",6.20,"Less than 10"
118.00,"2023-2024","0102670","Perry County","Alabama","South","01105","Perry County",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,14.00,1744.00,1758.00,7.96359499431172e-03,0.99,"1,000 - 10,000",47.59,"25.01 - 50"
